ID,SMILES,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,t-SNE-1,t-SNE-2,UMAP-1,UMAP-2,PC-1(6%),PC-2(4%),FDA,COCONUT,Fragments
V7I_cov,C[C@@]1(C[C@@H]2[C@H]1CCN2C(=O)C=C)OC3=NC(=CN4C3=CC=N4)C5=CN(N=C5)C,378.18042394400004,7,0,2.0740999999999996,77.55,0.4,5,8,4,25.390745,43.917873,9.248178,6.750388,-0.8569088580698495,2.7240656909131133,0,0,0
V7D_cov,CC[C@@H](C(=O)NCC(=O)O)OP(=O)(CCC(C(=O)O)N)OC1=CC=CC=C1,402.119202326,7,4,1.0565,165.25,0.4375,1,11,12,-29.299828,-15.455064,3.3435428,5.131243,0.06249138016228983,-1.770992694086264,0,0,0
V72_cov,CC1(CC(C1)N(C)C(=O)C=C)OC2=NC(=CN3C2=CC=N3)C4=CN(N=C4)C,366.18042394400004,7,0,2.0740999999999996,77.55,0.3684210526315789,4,8,5,25.391306,43.903057,9.322644,6.4194164,-0.7784459968799191,2.2005159331189765,0,0,0
V65_cov,C1CCC(CC1)N(CC2=CC=C(C=C2)Cl)C3=NC(=NC(=N3)N4CCOCC4)C#N,412.1778371000001,7,0,3.572580000000003,78.17000000000002,0.5238095238095238,4,8,5,-19.789923,31.037088,6.6525674,4.77978,-0.665510236678922,1.0093372712696107,0,0,0
V64_cov,CC(C)(C)OC(=O)N[C@H]1CCC2=NN=C(O2)CCCCNC(=O)CC[C@H](NC(=O)[C@@H](NC1=O)CC3CCCCC3)C=O,590.3427978120001,9,4,2.267100000000002,181.61999999999998,0.7586206896551724,3,13,4,33.345154,-48.94827,-0.7078654,6.712618,1.611578911926353,0.9571947098683922,0,0,0
V56_cov,CC(C)C[C@H]1C(=O)N[C@@H](CCC(=O)NCCCCC[C@H](OC(=O)N1)C2=CC(=CC=C2)Cl)C=O,479.21869886799993,5,3,3.6761000000000017,113.6,0.5833333333333334,2,9,4,30.45132,-52.001163,-0.91977286,6.986579,1.4730979769006851,0.8859127602007317,0,0,0
V52_cov,CC1=C(C2=C(C=C1)NN=C2)C3=CC4=C5C(=C3Cl)OC[C@@H]6CN(CCN6C5=NC=N4)C(=O)C=C,460.1414515920001,6,1,3.730520000000003,87.24000000000001,0.25,6,9,2,26.180752,61.89998,10.057854,8.09547,-0.7912062808459045,3.5353521368012273,0,0,0
V4T_cov,C[C@@H]1CN2[C@@H](CCOC3=C(C(=C(C4=C3C2=NC=N4)F)C5=C(C=CC=C5F)O)Cl)CN1C(=O)C=C,486.127024652,6,1,4.308200000000004,78.79,0.2916666666666667,5,10,2,21.150768,57.844856,9.585467,7.9547276,-0.9004345249420288,2.6608400323912567,0,0,0
V4N_cov,C1=CC(=CC(=C1)Cl)C(=O)OC2=C(C=CC(=C2)C=O)[N+](=O)[O-],305.00910003599995,5,0,3.2799000000000023,86.51,0.0,2,7,4,-4.395375,45.3298,8.95451,3.5072756,-1.619934753592715,0.21284597822832,0,0,0
V4K_cov,C1CN(CCC1CCO)C(=O)C2=CC=C(C=C2)C=O,261.136493468,3,1,1.7337,57.61,0.4666666666666667,2,4,4,7.692767,50.142056,8.49416,6.9077935,-0.6600269316905758,0.6476924307304185,0,0,0
V4J_cov,C[C@H]1[C@@H](O1)CCCOCCOC(=O)CCCC[C@H]2[C@@H]3[C@H](CS2)NC(=O)N3,386.18754306000005,6,2,1.8394999999999997,89.19,0.8888888888888888,3,8,12,-10.26228,-20.579475,4.714973,4.0548224,-0.1992941153368876,-0.557175626759149,0,0,0
V4H_cov,C1C[C@H](CN(C1)C(=O)C2=CC=C(C=C2)C=O)O,233.10519334,3,1,1.096,57.61,0.38461538461538464,2,4,2,7.233872,50.641468,8.386305,7.195753,-0.900728148475201,1.0352954128370389,0,0,Frag101
V4B_cov,CC1=C(C=CC(=N1)C(F)(F)F)C(=O)OC2=C(C=CC(=C2)C=O)[N+](=O)[O-],354.046356048,6,0,3.348720000000003,99.4,0.13333333333333333,2,10,4,-4.6239743,45.03393,9.073835,3.6001346,-1.370968797492701,0.5355551918685657,0,0,0
V48_cov,COC1=CC=CC(=C1)CC(=O)OC2=C(C=CC(=C2)C=O)[N+](=O)[O-],315.074287136,6,0,2.564,95.74000000000001,0.125,2,7,6,-5.5262527,45.654305,9.190537,3.763915,-0.7773664555840392,-0.22750231933904988,0,0,0
V46_cov,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OCC2=CC(=CC=C2)Cl,437.17174867599994,5,3,2.1907999999999994,113.60000000000001,0.5238095238095238,2,9,10,4.663285,-88.657326,-2.0853662,7.3124638,4.801102830257125,0.8130006458132238,0,0,0
V45_cov,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)N2C[C@H](OC2=O)CC3=CC(=CC=C3)Cl,463.18739873999994,5,2,2.3278999999999996,104.81,0.5652173913043478,3,9,10,3.568592,-89.02248,-1.8894635,7.547026,3.7261881809825743,1.2997424986574158,0,0,0
V42_cov,CN1C=C(C=N1)S(=O)(=O)OC2=C(C=CC(=C2)C=O)[N+](=O)[O-],311.021206008,8,0,0.9085000000000001,121.4,0.09090909090909091,2,10,5,-4.9279976,47.094406,9.134543,3.7000833,-1.648482353647082,0.6491910162881324,0,0,0
V3Z_cov,CC(C)S(=O)(=O)OC1=C(C=CC(=C1)C=O)[N+](=O)[O-],273.03070807200004,6,0,1.5243,103.58000000000001,0.3,1,8,5,-4.894891,46.555912,9.006487,3.6068048,-0.7914274087496406,-0.26120454750945904,0,0,0
V3W_cov,COC1CCN(CC1)C(=O)C2=CC=C(C=C2)C=O,247.120843404,3,0,1.7501,46.61,0.42857142857142855,2,4,3,6.6683617,49.85834,8.494506,7.04198,-0.6565377670200652,0.9842886017285897,0,0,Frag102
V3T_cov,CN1C=CN=C1CNC(=O)C2=CC=C(C=C2)C=O,243.100776656,4,1,1.1626000000000003,63.99,0.15384615384615385,2,5,4,5.281793,45.996822,8.952378,5.091096,-0.8834434328569309,0.38062761722602056,0,0,0
V3Q_cov,COC1=CC=CC(=C1)CNC(=O)C2=CC=C(C=C2)C=O,269.10519334,3,1,2.4377000000000004,55.4,0.125,2,4,5,5.770634,45.145718,8.775926,5.0933585,-0.5922136746436727,0.06491363884587391,0,0,0
V3N_cov,C1COCCC1CNC(=O)C2=CC=C(C=C2)C=O,247.120843404,3,1,1.6555000000000004,55.4,0.42857142857142855,2,4,4,7.79561,46.776245,8.051341,6.1989784,-0.2821451135595291,0.5276629183913742,0,0,0
V3M_cov,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)N,269.092417464,8,3,-1.0028000000000001,119.31,0.5,3,9,2,-68.52191,44.2086,3.1065354,-0.6551632,-1.639159169025447,-0.5697265957095264,0,0,0
V3K_cov,CN1C=C(C=N1)CNC(=O)C2=CC=C(C=C2)C=O,243.100776656,4,1,1.1626000000000003,63.99,0.15384615384615385,2,5,4,5.3787584,45.827393,8.891906,5.2632084,-0.7515838704015729,0.3929831092004874,0,0,0
V3E_cov,CC[C@@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1O)C(=O)OC)NC(=O)[C@H](C)NC(=O)CCl,455.18231335999997,6,4,0.8669000000000006,133.83,0.5238095238095238,1,10,11,-3.0853128,-42.170567,2.518608,6.8543344,1.0068889647344574,-1.5977077730802063,0,0,0
V3B_cov,CN(C)C(=O)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C=O,289.142641468,3,0,0.9384999999999997,60.93000000000001,0.4,2,6,2,7.3554797,49.069885,8.365032,6.7853127,-1.102787836399994,0.8088797855643982,0,0,0
V36_cov,B([C@@H](CNC(=O)C)C1=CC=C(C=C1)Cl)(O)O,241.06770135600001,3,3,0.5717000000000001,69.56,0.3,1,6,4,6.971536,-21.711504,4.392528,6.345658,-0.4769815478033614,-1.1527167629585406,0,0,0
V35_cov,B([C@@H](CC1=CC=C(C=C1)Cl)NC(=O)C)(O)O,241.06770135600001,3,3,0.39919999999999983,69.56,0.3,1,6,4,5.987359,-21.880117,3.885094,6.784916,-0.0019931772042715372,-1.4317130303213543,0,0,0
V34_cov,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)C2=CC3=C(N2)C=CC=C3OC,512.263484872,6,4,2.4513000000000007,138.61999999999998,0.48148148148148145,3,10,12,18.94052,-84.31987,-1.7147135,5.3916078,4.223726425767857,0.9887371906779729,0,0,0
