CBID,Warhead-01,Warhead-02
V65_cov,Nitrile,Nitrile
V66_cov,Aldehyde,Aldehyde
V69_cov,Aldehyde,Aldehyde
V6A_cov,Acrylamide,Michael_Acceptor
V72_cov,Acrylamide,Michael_Acceptor
V7D_cov,Phosphonate_Ester,Phosphonate
V7G_cov,Ketone,Carbonyl
V7I_cov,Acrylamide,Michael_Acceptor
V7J_cov,Acrylamide,Michael_Acceptor
V8X_cov,Nitrile,Nitrile
VA1_cov,Boronic_Acid,Boronic_Acid
VAI_cov,Ketone,Carbonyl
VAU_cov,Unclassified,Unclassified
VB7_cov,Unclassified,Unclassified
VBL_cov,Ester,Ester
VEE_cov,Aziridine,Aziridine
VEG_cov,Acrylamide,Michael_Acceptor
VEJ_cov,Acrylamide,Michael_Acceptor
VEM_cov,Acrylamide,Michael_Acceptor
VEP_cov,Acrylamide,Michael_Acceptor
VEV_cov,Acrylamide,Michael_Acceptor
VEY_cov,Acrylamide,Michael_Acceptor
VF2_cov,Alkyl_Halide,Halohydrocarbon
VGX_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
VHJ_cov,Aldehyde,Aldehyde
VHM_cov,Aldehyde,Aldehyde
VHP_cov,Aldehyde,Aldehyde
VHV_cov,Aldehyde,Aldehyde
VIG_cov,Alkene,Alkene
VJ8_cov,Acrylamide,Michael_Acceptor
VJB_cov,Acrylamide,Michael_Acceptor
VL5_cov,β-lactam,Lactam
VLD_cov,Uridine,Uridine
VLE_cov,Acrylamide,Michael_Acceptor
VLU_cov,Aldehyde,Aldehyde
VMM_cov,Imidazolidinone,Urea_carbonyl
VMX_cov,Vinyl_Sulfonamide,Vinyl_Sulfone
VNK_cov,Ketone,Carbonyl
VO7_cov,Acrylamide,Michael_Acceptor
VO8_cov,Acrylamide,Michael_Acceptor
VOD_cov,Sulfonyl_Halide,Sulfonyl_Halide
VOL_cov,Epoxide@Ketone,Epoxide@Carbonyl
VOT_cov,Acrylamide,Michael_Acceptor
VOX_cov,Acrylamide,Michael_Acceptor
VOY_cov,Acrylamide,Michael_Acceptor
VP1_cov,Acyl_Halide,Acyl_Halide
VPF_cov,Phosphonate_Ester,Phosphonate
VQN_cov,Acrylamide,Michael_Acceptor
VQR_cov,Acrylate,Michael_Acceptor
VQX_cov,Aziridine,Aziridine
VR4_cov,α-ketoamide,Carbonyl
VR_cov,Thiophosphonate_Ester,Phosphonate
VS1_cov,Vinyl_Sulfone,Vinyl_Sulfone
VS2_cov,Vinyl_Sulfone,Vinyl_Sulfone
VS3_cov,Vinyl_Sulfonate,Vinyl_Sulfone
VS4_cov,Vinyl_Sulfonamide,Vinyl_Sulfone
VSC_cov,Vinyl_Sulfonate,Vinyl_Sulfone
VSP_cov,Vinyl_Sulfonamide,Vinyl_Sulfone
VSZ_cov,β-lactone,Lactone
VTY_cov,γ-lactone,Lactone
VUZ_cov,Acrylamide,Michael_Acceptor
VV8_cov,Vinyl_Sulfone,Vinyl_Sulfone
VVE_cov,Acrylamide,Michael_Acceptor
VVI_cov,Aldehyde,Aldehyde
VVW_cov,Aldehyde,Aldehyde
VXA_cov,Thiophosphonate_Ester,Phosphonate
VZB_cov,Aldehyde,Aldehyde
VZO_cov,Aldehyde,Aldehyde
VZT_cov,Aldehyde,Aldehyde
W0B_cov,Aldehyde,Aldehyde
W0K_cov,Thiol,Thiol
W0L_cov,Aldehyde,Aldehyde
W0W_cov,Aldehyde,Aldehyde
W1C_cov,Aldehyde,Aldehyde
W1L_cov,Aldehyde,Aldehyde
W1U_cov,Aldehyde,Aldehyde
W28_cov,Aldehyde,Aldehyde
W2C_cov,Nitrile,Nitrile
W2P_cov,Acrylamide,Michael_Acceptor
W3F_cov,α-ketoamide,Carbonyl
W3T_cov,α-haloamide,Halohydrocarbon
W41_cov,Aryl_Halide,Aryl_Halide
W48_cov,Aldehyde,Aldehyde
W5N_cov,Epoxide,Epoxide
W5T_cov,α-haloamide,Halohydrocarbon
W6Q_cov,α-ketoamide,Carbonyl
W6X_cov,α-halomethyl_Ketone,Halohydrocarbon
W9N_cov,Acrylamide,Michael_Acceptor
WCJ_cov,Acrylamide,Michael_Acceptor
WE0_cov,γ-lactone,Lactone
WEL_cov,Aldehyde,Aldehyde
WEU_cov,Haloacetamide,Halohydrocarbon
WF5_cov,Aldehyde,Aldehyde
WF7_cov,Acrylamide,Michael_Acceptor
WFD_cov,Acrylamide,Michael_Acceptor
WGE_cov,Aldehyde,Aldehyde
WGF_cov,Acrylamide,Michael_Acceptor
WGI_cov,Aldehyde,Aldehyde
WGO_cov,Aldehyde,Aldehyde
WIO_cov,Aldehyde,Aldehyde
WIQ_cov,Acrylamide,Michael_Acceptor
WIX_cov,Aldehyde,Aldehyde
WKK_cov,Boronic_Acid,Boronic_Acid
WLP_cov,Thiol,Thiol
WM6_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
WMC_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
WMI_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
WMN_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
WMT_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
WMU_cov,Sulfonyl_Halide,Sulfonyl_Halide
WMX_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
WN2_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
WN3_cov,Sulfonyl_Halide,Sulfonyl_Halide
WNC_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
WOH_cov,Haloacetamide,Halohydrocarbon
WOK_cov,Ketone,Carbonyl
WPL_cov,Epoxide,Epoxide
WPN_cov,α-haloamide,Halohydrocarbon
WPW_cov,α-haloamide,Halohydrocarbon
WQ0_cov,α-haloamide,Halohydrocarbon
WQ5_cov,α-haloamide,Halohydrocarbon
WQ9_cov,α-haloamide,Halohydrocarbon
WQE_cov,α-haloamide,Halohydrocarbon
WQI_cov,α-haloamide,Halohydrocarbon
WQN_cov,α-haloamide,Halohydrocarbon
WQT_cov,α-haloamide,Halohydrocarbon
WQX_cov,α-haloamide,Halohydrocarbon
WR1_cov,Epoxide,Epoxide
WR9_cov,Alkyne,Alkyne
WRZ_cov,Acrylamide,Michael_Acceptor
WS8_cov,Boronic_Acid,Boronic_Acid
WS9_cov,Alkene,Alkene
WSN_cov,Nitrile,Nitrile
WSR_cov,α-halomethyl_Ketone,Halohydrocarbon
WTE_cov,Acrylate,Michael_Acceptor
WTK_cov,Acrylamide,Michael_Acceptor
WTO_cov,Acrylamide,Michael_Acceptor
WTU_cov,Acrylamide,Michael_Acceptor
WTV_cov,Acrylate,Michael_Acceptor
WU5_cov,α-halomethyl_Ketone,Halohydrocarbon
WU9_cov,α-halomethyl_Ketone,Halohydrocarbon
WUK_cov,Acrylate,Michael_Acceptor
WUU_cov,Acrylamide,Michael_Acceptor
WUZ_cov,Acrylamide,Michael_Acceptor
WW2_cov,Halophosphonate,Phosphonate
WY2_cov,β-lactam,Lactam
WY4_cov,β-lactam,Lactam
WYR_cov,α-ketoamide,Carbonyl
X1L_cov,Vinyl_Sulfone,Vinyl_Sulfone
X1Z_cov,α-ketoamide,Carbonyl
X2G_cov,Halosulfate,Sulfonyl_Halide
X2J_cov,Halosulfate,Sulfonyl_Halide
X2S_cov,Halosulfate,Sulfonyl_Halide
X3F_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
X3H_cov,Acrylate,Michael_Acceptor
X3I_cov,α-halomethyl_Ketone,Halohydrocarbon
X3K_cov,Acrylamide,Michael_Acceptor
X4N_cov,Nitrile,Nitrile
X57_cov,Imidazolidinone,Urea_carbonyl
X5C_cov,Epoxide@Ketone,Epoxide@Carbonyl
X5V_cov,β-lactone,Lactone
X5W_cov,Boronic_Acid,Boronic_Acid
X6O_cov,α-ketoamide,Carbonyl
X6T_cov,α-ketoamide,Carbonyl
X70_cov,α-ketoamide,Carbonyl
X7F_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
X83_cov,α-ketoamide,Carbonyl
X8F_cov,α-ketoamide,Carbonyl
X8H_cov,Alkene,Alkene
X8R_cov,Haloacetamide,Halohydrocarbon
X9H_cov,Acrylamide,Michael_Acceptor
X9Z_cov,α-ketoamide,Carbonyl
XA8_cov,α-ketoamide,Carbonyl
XAY_cov,α-cyanovinyl_Carbonyl,Michael_Acceptor
XBW_cov,Amide,Amide
XCK_cov,Nitrile,Nitrile
XD1_cov,β-lactam,Lactam
XD2_cov,β-lactam,Lactam
XDQ_cov,α-haloamide,Halohydrocarbon
XE0_cov,Alkene,Alkene
XE2_cov,Aldehyde,Aldehyde
XF8_cov,α-ketoamide,Carbonyl
XFF_cov,Aldehyde,Aldehyde
XHB_cov,Aldehyde,Aldehyde
XHR_cov,Azide,Azide
XHZ_cov,Aldehyde,Aldehyde
XIE_cov,Aldehyde,Aldehyde
XIK_cov,Aldehyde,Aldehyde
XK6_cov,Sulfonyl_Halide,Sulfonyl_Halide
XKN_cov,Sulfonyl_Halide,Sulfonyl_Halide
XKQ_cov,α-ketoamide,Carbonyl
XL5_cov,Acrylamide,Michael_Acceptor
XL6_cov,Acrylamide,Michael_Acceptor
XL7_cov,Acrylamide,Michael_Acceptor
XL8_cov,Acrylamide,Michael_Acceptor
XL9_cov,Acrylamide,Michael_Acceptor
XLK_cov,α-halomethyl_Ketone,Halohydrocarbon
XLN_cov,Alkyne,Alkyne
XM2_cov,Aldehyde,Aldehyde
XNV_cov,Acrylate,Michael_Acceptor
XOO_cov,Aldehyde,Aldehyde
XOP_cov,Phosphonate_Ester,Phosphonate
XP1_1_cov,Ester,Ester
XP1_2_cov,Ester,Ester
XPU_cov,Boronic_Acid,Boronic_Acid
XQ2_cov,Aldehyde,Aldehyde
XQF_cov,α-haloamide,Halohydrocarbon
XQN_cov,Boronic_Acid,Boronic_Acid
XQQ_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
XQV_cov,Acrylamide,Michael_Acceptor
XR3_cov,Boronic_Acid,Boronic_Acid
XR9_cov,Boronic_Acid,Boronic_Acid
XSA_cov,Boronic_Acid,Boronic_Acid
XSH_cov,α-haloamide,Halohydrocarbon
XT8_cov,β-lactam,Lactam
XTJ_cov,Aldehyde,Aldehyde
XTM_cov,Aldehyde,Aldehyde
XTP_cov,Aldehyde,Aldehyde
XU3_cov,Nitrile,Nitrile
XU5_cov,Nitrile,Nitrile
XU7_cov,Boronic_Acid,Boronic_Acid
XUJ_cov,Boronic_Acid,Boronic_Acid
XV4_cov,Aldehyde,Aldehyde
XV9_cov,Azanitrile,Nitrile
XVE_cov,α-halomethyl_Ketone,Halohydrocarbon
XVG_cov,γ-lactam,Lactam
XX0_cov,Haloacetamide,Halohydrocarbon
XXN_cov,α-ketoamide,Carbonyl
XXT_cov,Acrylate,Michael_Acceptor
XY2_cov,Haloacetamide,Halohydrocarbon
XYF_cov,Glycosyl_Halide,Glycoside
XYQ_cov,Ketone,Carbonyl
XYS_cov,Glycoside,Glycoside
XZ6_cov,Aldehyde,Aldehyde
XZK_cov,Aryl_Halide,Aryl_Halide
Y0E_cov,Acrylamide,Michael_Acceptor
Y0I_cov,Nitrile,Nitrile
Y0M_cov,Sulfonyl_Halide,Sulfonyl_Halide
Y0P_cov,Sulfonyl_Halide,Sulfonyl_Halide
Y11_cov,Nitrile,Nitrile
Y14_cov,Nitrile,Nitrile
Y15_cov,Nitrile,Nitrile
Y1E_cov,Acrylamide,Michael_Acceptor
Y2D_cov,Acrylamide,Michael_Acceptor
Y2W_cov,Aziridine,Aziridine
Y33_cov,β-lactam,Lactam
Y37_cov,Imine,Imine
Y3G_cov,Alkyne,Alkyne
Y3H_cov,Acrylate,Michael_Acceptor
Y3R_cov,Acrylate,Michael_Acceptor
Y3T_cov,Acrylamide,Michael_Acceptor
Y48_cov,Aldehyde,Aldehyde
Y4D_cov,Aldehyde,Aldehyde
Y4J_cov,Aldehyde,Aldehyde
Y4O_cov,Acrylamide,Michael_Acceptor
Y4P_cov,Aldehyde,Aldehyde
Y4V_cov,Aldehyde,Aldehyde
Y51_cov,Aldehyde,Aldehyde
Y56_cov,Acrylamide,Michael_Acceptor
Y5F_cov,Aryl_Halide,Aryl_Halide
Y5O_cov,Aryl_Halide,Aryl_Halide
Y5T_cov,Aryl_Halide,Aryl_Halide
Y5X_cov,Aryl_Halide,Aryl_Halide
Y62_cov,Aryl_Halide,Aryl_Halide
Y63_cov,Acrylate,Michael_Acceptor
Y6C_cov,Acrylate,Michael_Acceptor
Y7S_cov,Alkenyl_Halide,Vinyl_Halide
Y8N_cov,Acrylamide,Michael_Acceptor
Y8O_cov,Nitrile,Nitrile
Y8S_cov,Ketone,Carbonyl
Y8Y_cov,Aldehyde,Aldehyde
Y9Z_cov,Haloacetamide,Halohydrocarbon
YA5_cov,Sulfonyl_Halide,Sulfonyl_Halide
YB4_cov,Acrylamide,Michael_Acceptor
YBH_cov,Aldehyde,Aldehyde
YBP_cov,Acrylamide,Michael_Acceptor
YBU_cov,Nitrile,Nitrile
YBZ_cov,Nitrile,Nitrile
YC5_cov,Thiol,Thiol
YC6_cov,Aldehyde,Aldehyde
YCH_cov,Cyclic_Borate,Boric_Ester
YCL_cov,Haloacetamidine,Halohydrocarbon
YCP_cov,Aldehyde,Aldehyde
YCV_cov,Aldehyde,Aldehyde
YDL_cov,Nitrile,Nitrile
YDM_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
YDQ_cov,α-halomethyl_Ketone,Halohydrocarbon
YE3_cov,Sulfonyl_Halide,Sulfonyl_Halide
YFF_cov,Haloacetamidine,Halohydrocarbon
YGX_cov,Epoxide,Epoxide
YHD_cov,Boronic_Acid,Boronic_Acid
YHI_cov,Aldehyde,Aldehyde
YHJ_cov,Aldehyde,Aldehyde
YIL_cov,Ketone,Carbonyl
YIO_cov,Thioether,Thioether
YJ2_cov,Nitrile,Nitrile
YJ8_cov,Nitrile,Nitrile
YJ9_cov,Nitrile,Nitrile
YJG_cov,Aryl_Halide,Aryl_Halide
YK3_cov,Vinyl_Sulfonamide,Vinyl_Sulfone
YKA_cov,Aldehyde,Aldehyde
YKF_cov,Carbamate,Carbamate
YKM_cov,Aldehyde,Aldehyde
YKS_cov,Aldehyde,Aldehyde
YKY_cov,Aldehyde,Aldehyde
YLL_1_cov,Epoxide,Epoxide
YLL_2_cov,Epoxide,Epoxide
YLM_cov,Aldehyde,Aldehyde
YLN_cov,Borinic_Acid,Borinic_Acid
YLV_cov,Aldehyde,Aldehyde
YLW_cov,Aryl_Halide,Aryl_Halide
YM0_cov,Aryl_Halide,Aryl_Halide
YMA_cov,Thiosulfonate,Disulfide
YMD_cov,Aldehyde,Aldehyde
YMJ_cov,Aldehyde,Aldehyde
YML_cov,Phosphonate_Ester,Phosphonate
YMS_cov,Aldehyde,Aldehyde
YMY_cov,Aldehyde,Aldehyde
YN3_cov,Acrylamide,Michael_Acceptor
YOP_cov,Aldehyde,Aldehyde
YPK_cov,Acrylamide,Michael_Acceptor
YQV_cov,Acrylamide,Michael_Acceptor
YR9_cov,α-haloamide,Halohydrocarbon
YV2_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
YV6_cov,Disulfide,Disulfide
YV7_cov,Acrylate,Michael_Acceptor
YVA_cov,Acrylate,Michael_Acceptor
YVD_cov,Acrylate,Michael_Acceptor
YVG_cov,Acrylate,Michael_Acceptor
YVJ_cov,Acrylate,Michael_Acceptor
YVM_cov,Acrylate,Michael_Acceptor
YVP_cov,α-halomethyl_Ketone,Halohydrocarbon
YVV_cov,Acrylate,Michael_Acceptor
YVY_cov,α-halomethyl_Ketone,Halohydrocarbon
YW0_cov,Carbamate,Carbamate
YWJ_cov,α-acyloxymethyl_Ketone,α-acyloxymethyl_Ketone
YWX_cov,Nitrile,Nitrile
YWZ_cov,Halosulfate,Sulfonyl_Halide
YX7_cov,Boronic_Acid,Boronic_Acid
Z06_cov,Boronic_Acid,Boronic_Acid
Z10_cov,Boronic_Acid,Boronic_Acid
ZA3_cov,Boronic_Acid,Boronic_Acid
ZA4_cov,Boronic_Acid,Boronic_Acid
ZA5_cov,Boronic_Acid,Boronic_Acid
ZAH_cov,Aldehyde,Aldehyde
ZAP_cov,Phosphonate_Ester,Phosphonate
ZCI_cov,Aryl_Halide,Aryl_Halide
ZDP_cov,Aziridine,Aziridine
ZDR_cov,Aziridine,Aziridine
ZE9_cov,α-haloamide,Halohydrocarbon
ZEK_cov,α-haloamide,Halohydrocarbon
ZFB_cov,α-diazomethyl_Ketone,Diazomethyl_Carbonyl
ZFI_cov,α-haloamide,Halohydrocarbon
ZFJ_cov,Aldehyde,Aldehyde
ZG0_cov,α-haloamide,Halohydrocarbon
ZG6_cov,α-haloamide,Halohydrocarbon
ZGE_cov,Glycosyl_Halide,Glycoside
ZGF_cov,Haloacetamide,Halohydrocarbon
ZGK_cov,Haloacetamide,Halohydrocarbon
ZGM_cov,Ketone,Carbonyl
ZGQ_cov,Haloacetamide,Halohydrocarbon
ZGV_cov,Carbamate,Carbamate
ZGX_cov,Haloacetamide,Halohydrocarbon
ZI3_cov,Acrylamide,Michael_Acceptor
ZJ1_cov,Vinyl_Sulfonamide,Vinyl_Sulfone
ZK8_cov,Phosphonate_Ester,Phosphonate
ZKR_cov,Boronic_Acid,Boronic_Acid
ZL7_cov,α-ketoamide,Carbonyl
ZLE_cov,Acrylamide,Michael_Acceptor
ZMD_cov,Cyclic_Boronic_Acid,Boronic_Acid
ZNL_cov,Acrylamide,Michael_Acceptor
ZPN_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
ZQB_cov,Nitrile,Nitrile
ZRA_cov,α-halomethyl_Ketone,Halohydrocarbon
ZRT_cov,Acrylamide,Michael_Acceptor
ZS9_cov,Acrylate,Michael_Acceptor
ZTA_cov,Aldehyde,Aldehyde
ZTO_cov,Acrylamide,Michael_Acceptor
ZU3_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
ZU5_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
ZUV_cov,Halophosphonate,Phosphonate
ZX0_cov,β-lactam,Lactam
ZX1_cov,β-lactam,Lactam
ZXM_cov,Boronic_Acid,Boronic_Acid
ZXQ_cov,Cyclic_Boronic_Acid,Boronic_Acid
ZYA_cov,α-halomethyl_Ketone,Halohydrocarbon
ZYZ_cov,Selenic_Acid,Selenic_Acid
